"_index";"uid";"instance_type";"instance_category";"instance_generation";"release_month";"release_year";"product_page";"announcement_url";"announcement_published";"blog_post_url";"blog_post_published"
1;"451c1cd49a2f955d";"m1.small";"General Purpose";"Previous generation";"August";"2006";"https://aws.amazon.com/ec2/previous-generation/";"https://aws.amazon.com/about-aws/whats-new/2006/08/24/announcing-amazon-elastic-compute-cloud-amazon-ec2---beta/";"Aug 24, 2006";NULL;NULL
2;"85589f23e811f229";"m1.large";"General Purpose";"Previous generation";"October";"2007";"https://aws.amazon.com/ec2/previous-generation/";"https://aws.amazon.com/about-aws/whats-new/2007/10/22/amazon-ec2-now-in-unlimited-beta-and-launching-new-instance-types/";"Oct 22, 2007";"https://aws.amazon.com/blogs/aws/amazon-ec2-gets/";"Oct 16, 2007"
3;"db881dc65b70a128";"m1.xlarge";"General Purpose";"Previous generation";"October";"2007";"https://aws.amazon.com/ec2/previous-generation/";"https://aws.amazon.com/about-aws/whats-new/2007/10/22/amazon-ec2-now-in-unlimited-beta-and-launching-new-instance-types/";"Oct 22, 2007";"https://aws.amazon.com/blogs/aws/amazon-ec2-gets/";"Oct 16, 2007"
4;"719785bb62b69257";"c1.medium";"Compute Optimized";"Previous generation";"May";"2008";"https://aws.amazon.com/ec2/previous-generation/";NULL;NULL;"https://aws.amazon.com/blogs/aws/more-ec2-power/";"May 29, 2008"
5;"14861a4162144a39";"c1.xlarge";"Compute Optimized";"Previous generation";"May";"2008";"https://aws.amazon.com/ec2/previous-generation/";NULL;NULL;"https://aws.amazon.com/blogs/aws/more-ec2-power/";"May 29, 2008"
6;"0204afdbb01d1e39";"m2.2xlarge";"Memory Optimized";"Previous generation";"October";"2009";"https://aws.amazon.com/ec2/previous-generation/";"https://aws.amazon.com/about-aws/whats-new/2009/10/27/announcing-amazon-ec2-high-memory-instances/";"Oct 27, 2009";"https://aws.amazon.com/blogs/aws/new-ec2-instance-type-m2xlarge/";"Oct 27, 2009"
7;"402230d55ac40b3d";"m2.4xlarge";"Memory Optimized";"Previous generation";"October";"2009";"https://aws.amazon.com/ec2/previous-generation/";"https://aws.amazon.com/about-aws/whats-new/2009/10/27/announcing-amazon-ec2-high-memory-instances/";"Oct 27, 2009";"https://aws.amazon.com/blogs/aws/new-ec2-instance-type-m2xlarge/";"Oct 27, 2009"
8;"47d092273fc720af";"m2.xlarge";"Memory Optimized";"Previous generation";"February";"2010";"https://aws.amazon.com/ec2/previous-generation/";"https://aws.amazon.com/about-aws/whats-new/2010/02/23/amazon-ec2-now-offers-extra-large-high-memory-instances/";"Feb 23, 2010";"https://aws.amazon.com/blogs/aws/new-ec2-instance-type-m2xlarge/";"Feb 22, 2010"
9;"6fabd67a7645aa5b";"cc1.4xlarge";"Cluster Compute";"Previous generation";"July";"2010";"https://aws.amazon.com/ec2/previous-generation/";"https://aws.amazon.com/about-aws/whats-new/2010/07/13/announcing-cluster-compute-instances-for-amazon-ec2/";"Jul 13, 2010";"https://aws.amazon.com/blogs/aws/the-new-amazon-ec2-instance-type-the-cluster-compute-instance/";"Jul 13, 2010"
10;"a4004d9227d252bb";"t1.micro";"Micro";"Previous generation";"September";"2010";"https://aws.amazon.com/ec2/previous-generation/";"https://aws.amazon.com/about-aws/whats-new/2010/09/09/announcing-micro-instances-for-amazon-ec2/";"Sep 9, 2010";"https://aws.amazon.com/blogs/aws/new-amazon-ec2-micro-instances/";"Sep 09, 2010"
